model_id,mode,n,pearson_r,mae,is_paper_ref,is_llm_annotators,rank,note,n_models
gpt-5.6-luna,T,50,0.7850968602212802,0.5739839999999999,False,False,1,,
gpt-5.6-luna,ORIG,50,0.7776668912632118,0.6199119999999999,False,False,2,,
gpt-4 (paper),ref,50,0.7546998299324308,0.5822320000000001,True,False,3,from data/ready gpt4_mean; not openai/gpt-4.1-mini,
gpt-5.6-sol,ORIG,50,0.7331366186783372,0.637764,False,False,4,,
llm_annotators,mean,50,0.7273392735154032,0.6226506666666666,False,True,5,Equal mean of model_mean per sentence; 1 vote/model; prefer ORIG else T; excludes gpt-4 (paper) and S/ST,9
gpt-5.6-sol,T,50,0.7061714127966138,0.6757639999999999,False,False,6,,
moonshotai/kimi-k3,T,50,0.6954308413670434,0.6497791111111111,False,False,7,,
moonshotai/kimi-k3,ORIG,50,0.6918198235713622,0.6679600000000001,False,False,8,,
google/gemini-3.6-flash,T,50,0.6809701479030159,0.816644,False,False,9,,
z-ai/glm-5.2,T,50,0.6677649295195878,0.9250589010989012,False,False,10,,
google/gemma-4-31b-it,T,50,0.6421068219555699,0.8146439999999999,False,False,11,,
google/gemma-3-12b-it,ORIG,50,0.6402469432971583,1.186496,False,False,12,,
z-ai/glm-5.2,ORIG,50,0.6281695742666508,0.865644,False,False,13,,
deepseek/deepseek-v4-flash,T,50,0.5943783794234444,0.7694840000000001,False,False,14,,
deepseek/deepseek-v4-flash,ORIG,50,0.5488178211758419,0.6999360000000001,False,False,15,,
openai/gpt-4.1-mini,ORIG,50,0.5251472150749914,0.871692,False,False,16,,
google/gemma-4-31b-it,ORIG,50,0.4880091640967146,0.930984,False,False,17,,
