challenger_model,challenger_mode,baseline_model,baseline_mode,sample_id,condition,sentence,human_mean,challenger_mean,baseline_mean,challenger_abs_err,baseline_abs_err,err_advantage_baseline
deepseek/deepseek-v4-flash,ORIG,google/gemma-3-12b-it,ORIG,s1_animate,animate,The nurse fetched the file.,6.225,4.2,6.0,2.0249999999999995,0.22499999999999964,1.7999999999999998
deepseek/deepseek-v4-flash,ORIG,google/gemma-3-12b-it,ORIG,s9_global,global,The guide observed the sculptor.,4.95,3.7,5.05,1.25,0.09999999999999964,1.1500000000000004
google/gemma-4-31b-it,ORIG,google/gemma-3-12b-it,ORIG,s6_name,name,The judge needed Joel.,3.475,5.0,3.0,1.525,0.4750000000000001,1.0499999999999998
google/gemma-4-31b-it,ORIG,google/gemma-3-12b-it,ORIG,s3_all,all,The art dealer brought the buyer.,3.325,7.0,6.0,3.675,2.675,1.0
deepseek/deepseek-v4-flash,ORIG,google/gemma-3-12b-it,ORIG,s6_name,name,The judge needed Joel.,3.475,4.9,3.0,1.4250000000000003,0.4750000000000001,0.9500000000000002
google/gemma-4-31b-it,ORIG,google/gemma-3-12b-it,ORIG,s9_plural,plural,The guide observed the sculptors.,4.525,6.0,5.05,1.4749999999999996,0.5249999999999995,0.9500000000000002
google/gemma-4-31b-it,ORIG,google/gemma-3-12b-it,ORIG,s2_global,global,The waiter watched the chef.,5.95,5.0,6.0,0.9500000000000002,0.04999999999999982,0.9000000000000004
google/gemma-4-31b-it,ORIG,google/gemma-3-12b-it,ORIG,s1_global,global,The nurse fetched the intern.,5.1,6.0,5.0,0.9000000000000004,0.09999999999999964,0.8000000000000007
deepseek/deepseek-v4-flash,ORIG,google/gemma-3-12b-it,ORIG,s1_all,all,The nurse fetched the patient.,6.2683,6.9,6.3,0.6317000000000004,0.03169999999999984,0.6000000000000005
deepseek/deepseek-v4-flash,ORIG,google/gemma-3-12b-it,ORIG,s10_plural,plural,The seller recommended the designers.,5.6,4.5,5.0,1.0999999999999996,0.5999999999999996,0.5
