sample_id,sentence,human_mean,ensemble_mean,abs_err,n_annotators,model_vote_std
s10_all,The seller recommended the model.,5.875,6.211111111111111,0.33611111111111125,9,0.7304869000270375
s10_animate,The seller recommended the dress.,6.275,6.672222222222222,0.39722222222222126,9,0.45007715387969255
s10_global,The seller recommended the designer.,5.9024,4.783333333333333,1.1190666666666669,9,0.682367203197809
s10_name,The seller recommended Pierre.,4.75,4.661111111111111,0.08888888888888857,9,1.2356116344188053
s10_plural,The seller recommended the designers.,5.6,4.416666666666667,1.1833333333333327,9,0.6299801584177077
s1_all,The nurse fetched the patient.,6.2683,5.905555555555555,0.362744444444445,9,0.9398950887081908
s1_animate,The nurse fetched the file.,6.225,5.905555555555555,0.31944444444444464,9,0.7367345368433448
s1_global,The nurse fetched the intern.,5.1,5.35,0.25,9,0.3791437722025775
s1_name,The nurse fetched Matt.,4.9,5.294444444444444,0.39444444444444393,9,0.6186903731090195
s1_plural,The nurse fetched the interns.,5.45,5.594733333333334,0.14473333333333382,9,0.45683655720618505
s2_all,The waiter watched the critic.,5.125,5.572222222222222,0.44722222222222197,9,0.6505339687091247
s2_animate,The waiter watched the cake.,3.675,3.4555555555555557,0.2194444444444441,9,0.5653784376661156
s2_global,The waiter watched the chef.,5.95,5.877777777777777,0.07222222222222285,9,0.3800584750330461
s2_name,The waiter watched Louis.,5.6585,5.072222222222222,0.5862777777777781,9,0.5154555698064038
s2_plural,The waiter watched the chefs.,5.725,5.766666666666667,0.04166666666666696,9,0.38160843806184375
s3_all,The art dealer brought the buyer.,3.325,5.772222222222222,2.447222222222222,9,0.6088468152535943
s3_animate,The art dealer brought the portrait.,5.6,6.716666666666667,1.1166666666666671,9,0.41003048667141817
s3_global,The art dealer brought the artist.,3.3,5.65,2.3500000000000005,9,0.6087897830942961
s3_name,The art dealer brought Ethan.,3.35,3.888888888888889,0.5388888888888888,9,0.6895550094888088
s3_plural,The art dealer brought the artists.,3.8537,5.527777777777778,1.6740777777777778,9,0.5651941652604391
s4_all,The dean observed the scientist.,4.125,5.111111111111111,0.9861111111111107,9,0.5666666666666667
s4_animate,The dean observed the result.,5.2195,5.572222222222222,0.35272222222222194,9,0.32510682005218594
s4_global,The dean observed the student.,5.95,5.922222222222222,0.027777777777778567,9,0.5374192445795408
s4_name,The dean observed Tony.,5.375,5.35,0.025000000000000355,9,0.42720018726587666
s4_plural,The dean observed the students.,6.375,6.433333333333334,0.05833333333333357,9,0.3848701079585162
s5_all,The owner payed for the worker.,4.175,4.6,0.4249999999999998,9,1.1976539567003484
s5_animate,The owner payed for the tractor.,4.65,6.016666666666667,1.3666666666666663,9,0.7262919523166975
s5_global,The owner payed for the farmer.,2.7561,2.961111111111111,0.2050111111111108,9,1.1266037950899646
s5_name,The owner payed for Joe.,3.65,3.9055555555555554,0.25555555555555554,9,1.520781962602719
s5_plural,The owner payed for the farmers.,3.35,3.6277777777777778,0.2777777777777777,9,1.5137104889788022
s6_all,The judge needed the witness.,5.8049,6.622222222222223,0.8173222222222227,9,0.42654946306899094
s6_animate,The judge needed the camera.,3.825,3.6166666666666663,0.20833333333333393,9,0.7167635593415725
s6_global,The judge needed the lawyer.,5.1,6.2555555555555555,1.155555555555556,9,0.7919297808377821
s6_name,The judge needed Joel.,3.475,4.322222222222222,0.8472222222222219,9,0.6773621220916066
s6_plural,The judge needed the lawyers.,6.125,6.644444444444444,0.5194444444444439,9,0.4369242242972776
s7_all,The audience liked the actor.,6.625,6.944444444444445,0.31944444444444464,9,0.13333333333333344
s7_animate,The audience liked the newspaper.,4.55,3.072222222222222,1.4777777777777779,9,0.6769006163717423
s7_global,The audience liked the reviewer.,4.075,4.916666666666667,0.8416666666666668,9,0.45069390943299864
s7_name,The audience liked Tom.,6.3171,6.655555555555555,0.33845555555555507,9,0.4216370213557839
s7_plural,The audience liked the reviewers.,3.95,4.138888888888889,0.1888888888888891,9,0.8869814604100308
s8_all,The neighbour heard the child.,6.55,6.522222222222222,0.02777777777777768,9,0.3709035514044648
s8_animate,The neighbour heard the alarm.,6.65,6.75,0.09999999999999964,9,0.4301162633521313
s8_global,The neighbour heard the parent.,5.575,5.050000000000001,0.5249999999999995,9,0.6680194607943694
s8_name,The neighbour heard Anna.,6.075,6.061111111111111,0.013888888888889284,9,0.3822448313726572
s8_plural,The neighbour heard the parents.,5.2927,5.772222222222222,0.4795222222222222,9,0.3808798294008812
s9_all,The guide observed the visitor.,6.025,6.294444444444444,0.26944444444444393,9,0.6316864552749075
s9_animate,The guide observed the painting.,5.561,6.2555555555555555,0.6945555555555556,9,0.43549142101513066
s9_global,The guide observed the sculptor.,4.95,4.883333333333334,0.06666666666666643,9,0.8565920849505907
s9_name,The guide ovserved Claude.,5.125,4.416666666666667,0.708333333333333,9,1.357847561400027
s9_plural,The guide observed the sculptors.,4.525,5.466666666666667,0.9416666666666664,9,0.668487097856047
